Waiting for operation to complete...
Transcript: dziadzio raz maleńka Fryderyka Biała dziadzie tapety kaaze stąpał dość niezdarnie dzieci pusty śmiech ogarnie Przestań Życzę jej na to staruszek łagodnie i ja biegałem niegdyś żwawo i swobodnie a że mi dziś chodzenie Idzie jak po grudzie to dlatego że w pracy żył ciężkiej i trudzie dobre dzieci zawstydzone poszło płakać aż na stronę odtąd zawsze w trzcinie bokiej podpierał o starca kroki Pamiętajcie drogie dziatki nie żartować z ojca matki bo paraliż postępowy najważniejsze trafia głowy
Confidence: 0.9289296269416809
Word: dziadzio, start_time: 0.0, end_time: 0.6000000000000001
Word: raz, start_time: 0.6000000000000001, end_time: 1.4
Word: maleńka, start_time: 1.4, end_time: 1.9
Word: Fryderyka, start_time: 1.9, end_time: 2.5
Word: Biała, start_time: 2.5, end_time: 3.0
Word: dziadzie, start_time: 3.0, end_time: 3.8
Word: tapety, start_time: 3.8, end_time: 4.5
Word: kaaze, start_time: 4.5, end_time: 5.4
Word: stąpał, start_time: 5.4, end_time: 6.0
Word: dość, start_time: 6.0, end_time: 6.3
Word: niezdarnie, start_time: 6.3, end_time: 7.0
Word: dzieci, start_time: 7.0, end_time: 7.9
Word: pusty, start_time: 7.9, end_time: 8.4
Word: śmiech, start_time: 8.4, end_time: 8.6
Word: ogarnie, start_time: 8.6, end_time: 9.5
Word: Przestań, start_time: 9.5, end_time: 10.9
Word: Życzę, start_time: 10.9, end_time: 11.7
Word: jej, start_time: 11.7, end_time: 11.9
Word: na, start_time: 11.9, end_time: 12.1
Word: to, start_time: 12.1, end_time: 12.2
Word: staruszek, start_time: 12.2, end_time: 12.6
Word: łagodnie, start_time: 12.6, end_time: 13.5
Word: i, start_time: 13.5, end_time: 13.6
Word: ja, start_time: 13.6, end_time: 14.4
Word: biegałem, start_time: 14.4, end_time: 15.0
Word: niegdyś, start_time: 15.0, end_time: 15.5
Word: żwawo, start_time: 15.5, end_time: 16.1
Word: i, start_time: 16.1, end_time: 16.2
Word: swobodnie, start_time: 16.2, end_time: 17.0
Word: a, start_time: 17.0, end_time: 17.2
Word: że, start_time: 17.2, end_time: 17.7
Word: mi, start_time: 17.7, end_time: 17.9
Word: dziś, start_time: 17.9, end_time: 18.1
Word: chodzenie, start_time: 18.1, end_time: 18.8
Word: Idzie, start_time: 18.8, end_time: 19.3
Word: jak, start_time: 19.3, end_time: 19.5
Word: po, start_time: 19.5, end_time: 19.6
Word: grudzie, start_time: 19.6, end_time: 19.8
Word: to, start_time: 19.8, end_time: 20.6
Word: dlatego, start_time: 20.6, end_time: 20.9
Word: że, start_time: 20.9, end_time: 21.3
Word: w, start_time: 21.3, end_time: 21.7
Word: pracy, start_time: 21.7, end_time: 22.0
Word: żył, start_time: 22.0, end_time: 22.6
Word: ciężkiej, start_time: 22.6, end_time: 23.3
Word: i, start_time: 23.3, end_time: 23.5
Word: trudzie, start_time: 23.5, end_time: 24.1
Word: dobre, start_time: 24.1, end_time: 25.5
Word: dzieci, start_time: 25.5, end_time: 25.7
Word: zawstydzone, start_time: 25.7, end_time: 26.6
Word: poszło, start_time: 26.6, end_time: 27.2
Word: płakać, start_time: 27.2, end_time: 27.8
Word: aż, start_time: 27.8, end_time: 28.1
Word: na, start_time: 28.1, end_time: 28.3
Word: stronę, start_time: 28.3, end_time: 28.8
Word: odtąd, start_time: 28.8, end_time: 29.6
Word: zawsze, start_time: 29.6, end_time: 30.2
Word: w, start_time: 30.2, end_time: 30.3
Word: trzcinie, start_time: 30.3, end_time: 30.8
Word: bokiej, start_time: 30.8, end_time: 31.3
Word: podpierał, start_time: 31.3, end_time: 32.5
Word: o, start_time: 32.5, end_time: 32.6
Word: starca, start_time: 32.6, end_time: 33.1
Word: kroki, start_time: 33.1, end_time: 33.6
Word: Pamiętajcie, start_time: 33.6, end_time: 34.9
Word: drogie, start_time: 34.9, end_time: 35.4
Word: dziatki, start_time: 35.4, end_time: 35.5
Word: nie, start_time: 35.5, end_time: 36.3
Word: żartować, start_time: 36.3, end_time: 37.0
Word: z, start_time: 37.0, end_time: 37.2
Word: ojca, start_time: 37.2, end_time: 37.9
Word: matki, start_time: 37.9, end_time: 38.6
Word: bo, start_time: 38.6, end_time: 39.2
Word: paraliż, start_time: 39.2, end_time: 39.6
Word: postępowy, start_time: 39.6, end_time: 39.8
Word: najważniejsze, start_time: 39.8, end_time: 41.9
Word: trafia, start_time: 41.9, end_time: 42.4
Word: głowy, start_time: 42.4, end_time: 42.9
