Waiting for operation to complete...
Transcript: ach co za prześliczne Abecadło fragment zamieszczonego dzieła b&b Barbara się bawiła z bernardynem bardzo lecz że taką zabawę sami ludzie gardzą teraz każde z osobna winy swoje marzenia rudym beczy Bogu a bęben Barbarze c c c ratował się co nocy z Sycylią Celestyn z Lubań ma się składać ich miłosny festyn dziś włącz swój poniewczasie pojmować zaczyna cesia całując chłodny ciało Celestyna d&d długą dyskusje z durniem dorzeczna Dorota wiodła Co jest ważniejsze czy miłość czy cnota tymczasem się ściemniło gdy weszli rodzice w dłoniach durnia dostrzegli Dorota dziewice.pl
Confidence: 0.9759854078292847
Word: ach, start_time: 0.0, end_time: 0.5
Word: co, start_time: 0.5, end_time: 1.0
Word: za, start_time: 1.0, end_time: 1.1
Word: prześliczne, start_time: 1.1, end_time: 1.7000000000000002
Word: Abecadło, start_time: 1.7000000000000002, end_time: 2.6
Word: fragment, start_time: 2.6, end_time: 3.7
Word: zamieszczonego, start_time: 3.7, end_time: 4.5
Word: dzieła, start_time: 4.5, end_time: 4.7
Word: b&b, start_time: 4.7, end_time: 6.5
Word: Barbara, start_time: 6.5, end_time: 7.8
Word: się, start_time: 7.8, end_time: 8.0
Word: bawiła, start_time: 8.0, end_time: 8.4
Word: z, start_time: 8.4, end_time: 8.6
Word: bernardynem, start_time: 8.6, end_time: 9.4
Word: bardzo, start_time: 9.4, end_time: 10.3
Word: lecz, start_time: 10.3, end_time: 11.1
Word: że, start_time: 11.1, end_time: 11.5
Word: taką, start_time: 11.5, end_time: 11.8
Word: zabawę, start_time: 11.8, end_time: 12.3
Word: sami, start_time: 12.3, end_time: 13.0
Word: ludzie, start_time: 13.0, end_time: 13.2
Word: gardzą, start_time: 13.2, end_time: 13.6
Word: teraz, start_time: 13.6, end_time: 14.8
Word: każde, start_time: 14.8, end_time: 15.3
Word: z, start_time: 15.3, end_time: 15.4
Word: osobna, start_time: 15.4, end_time: 15.6
Word: winy, start_time: 15.6, end_time: 16.6
Word: swoje, start_time: 16.6, end_time: 17.1
Word: marzenia, start_time: 17.1, end_time: 17.7
Word: rudym, start_time: 17.7, end_time: 18.9
Word: beczy, start_time: 18.9, end_time: 19.5
Word: Bogu, start_time: 19.5, end_time: 20.0
Word: a, start_time: 20.0, end_time: 20.1
Word: bęben, start_time: 20.1, end_time: 21.1
Word: Barbarze, start_time: 21.1, end_time: 22.0
Word: c, start_time: 22.0, end_time: 22.9
Word: c, start_time: 22.9, end_time: 23.6
Word: c, start_time: 23.6, end_time: 24.4
Word: ratował, start_time: 24.4, end_time: 25.0
Word: się, start_time: 25.0, end_time: 25.2
Word: co, start_time: 25.2, end_time: 25.5
Word: nocy, start_time: 25.5, end_time: 26.0
Word: z, start_time: 26.0, end_time: 26.2
Word: Sycylią, start_time: 26.2, end_time: 26.9
Word: Celestyn, start_time: 26.9, end_time: 27.8
Word: z, start_time: 27.8, end_time: 27.9
Word: Lubań, start_time: 27.9, end_time: 29.1
Word: ma, start_time: 29.1, end_time: 29.3
Word: się, start_time: 29.3, end_time: 29.4
Word: składać, start_time: 29.4, end_time: 29.7
Word: ich, start_time: 29.7, end_time: 30.5
Word: miłosny, start_time: 30.5, end_time: 31.1
Word: festyn, start_time: 31.1, end_time: 31.6
Word: dziś, start_time: 31.6, end_time: 32.6
Word: włącz, start_time: 32.6, end_time: 33.2
Word: swój, start_time: 33.2, end_time: 33.5
Word: poniewczasie, start_time: 33.5, end_time: 34.3
Word: pojmować, start_time: 34.3, end_time: 35.2
Word: zaczyna, start_time: 35.2, end_time: 35.8
Word: cesia, start_time: 35.8, end_time: 36.6
Word: całując, start_time: 36.6, end_time: 37.6
Word: chłodny, start_time: 37.6, end_time: 38.3
Word: ciało, start_time: 38.3, end_time: 38.9
Word: Celestyna, start_time: 38.9, end_time: 39.8
Word: d&d, start_time: 39.8, end_time: 41.6
Word: długą, start_time: 41.6, end_time: 42.8
Word: dyskusje, start_time: 42.8, end_time: 43.6
Word: z, start_time: 43.6, end_time: 43.7
Word: durniem, start_time: 43.7, end_time: 44.2
Word: dorzeczna, start_time: 44.2, end_time: 45.0
Word: Dorota, start_time: 45.0, end_time: 45.6
Word: wiodła, start_time: 45.6, end_time: 46.5
Word: Co, start_time: 46.5, end_time: 47.0
Word: jest, start_time: 47.0, end_time: 47.2
Word: ważniejsze, start_time: 47.2, end_time: 47.5
Word: czy, start_time: 47.5, end_time: 48.4
Word: miłość, start_time: 48.4, end_time: 48.9
Word: czy, start_time: 48.9, end_time: 49.3
Word: cnota, start_time: 49.3, end_time: 49.8
Word: tymczasem, start_time: 49.8, end_time: 51.0
Word: się, start_time: 51.0, end_time: 51.2
Word: ściemniło, start_time: 51.2, end_time: 51.9
Word: gdy, start_time: 51.9, end_time: 52.5
Word: weszli, start_time: 52.5, end_time: 53.0
Word: rodzice, start_time: 53.0, end_time: 53.5
Word: w, start_time: 53.5, end_time: 53.6
Word: dłoniach, start_time: 53.6, end_time: 54.4
Word: durnia, start_time: 54.4, end_time: 55.0
Word: dostrzegli, start_time: 55.0, end_time: 56.0
Word: Dorota, start_time: 56.0, end_time: 57.0
Word: dziewice.pl, start_time: 57.0, end_time: 58.6
Transcript: Szczytowa Edzia eteryczna Emma iż przewrotnej miłości chcę poznać dilemma buty się naprzykrzał aż wreszcie znudzony Edward ewakuował mm edredony
Confidence: 0.8828929662704468
Word: Szczytowa, start_time: 59.9, end_time: 60.5
Word: Edzia, start_time: 60.5, end_time: 61.1
Word: eteryczna, start_time: 61.1, end_time: 62.1
Word: Emma, start_time: 62.1, end_time: 62.6
Word: iż, start_time: 62.6, end_time: 63.2
Word: przewrotnej, start_time: 63.2, end_time: 64.0
Word: miłości, start_time: 64.0, end_time: 64.7
Word: chcę, start_time: 64.7, end_time: 65.2
Word: poznać, start_time: 65.2, end_time: 65.8
Word: dilemma, start_time: 65.8, end_time: 66.7
Word: buty, start_time: 66.7, end_time: 67.8
Word: się, start_time: 67.8, end_time: 68.0
Word: naprzykrzał, start_time: 68.0, end_time: 68.4
Word: aż, start_time: 68.4, end_time: 69.4
Word: wreszcie, start_time: 69.4, end_time: 69.6
Word: znudzony, start_time: 69.6, end_time: 70.7
Word: Edward, start_time: 70.7, end_time: 71.6
Word: ewakuował, start_time: 71.6, end_time: 72.5
Word: mm, start_time: 72.5, end_time: 73.1
Word: edredony, start_time: 73.1, end_time: 74.2
