Waiting for operation to complete...
Transcript: Jakob i Wilhelm Grimm słodka potrawa tłumaczenie Bolesław londyński Była raz sobie biedna pobożna dziewczynka która mieszkała razem z matką i obie nie miały już nic do jedzenia wtedy dziewczynka poszła do lasu i tam natknęłam się na pewną starą kobietę która wiedziała o jej niedoli i podarowała jej garnuszek mówiąc Jak tylko będziesz głodna Powiedz garnuszku gotuj a on ci ugotuję wybornej słodkiej kaszy jaglanej gdy się już na już do syta Powiedz tylko garnuszku dość a on zaraz przestanie gotować dziewczynka zaniosła garnuszek do matki i odtąd nie były ani tak ubogie ani tak głodny jak dawniej pomogły jadać codziennie Wyborczą słodką kaszę Pewnego dnia dziewczynka wyszła a matka rzekła garnuszku gotuj anato garnuszek ugotował kaszę i matka Najadła się do syta chcę teraz ażeby Garnuszek
Confidence: 0.8741277456283569
Word: Jakob, start_time: 0.0, end_time: 0.8
Word: i, start_time: 0.8, end_time: 0.9
Word: Wilhelm, start_time: 0.9, end_time: 1.7000000000000002
Word: Grimm, start_time: 1.7000000000000002, end_time: 1.8
Word: słodka, start_time: 1.8, end_time: 3.5
Word: potrawa, start_time: 3.5, end_time: 3.6
Word: tłumaczenie, start_time: 3.6, end_time: 5.4
Word: Bolesław, start_time: 5.4, end_time: 5.8
Word: londyński, start_time: 5.8, end_time: 6.0
Word: Była, start_time: 6.0, end_time: 8.0
Word: raz, start_time: 8.0, end_time: 8.2
Word: sobie, start_time: 8.2, end_time: 8.2
Word: biedna, start_time: 8.2, end_time: 9.0
Word: pobożna, start_time: 9.0, end_time: 9.5
Word: dziewczynka, start_time: 9.5, end_time: 10.1
Word: która, start_time: 10.1, end_time: 10.7
Word: mieszkała, start_time: 10.7, end_time: 11.1
Word: razem, start_time: 11.1, end_time: 11.2
Word: z, start_time: 11.2, end_time: 11.5
Word: matką, start_time: 11.5, end_time: 11.8
Word: i, start_time: 11.8, end_time: 12.0
Word: obie, start_time: 12.0, end_time: 12.7
Word: nie, start_time: 12.7, end_time: 12.8
Word: miały, start_time: 12.8, end_time: 13.1
Word: już, start_time: 13.1, end_time: 13.3
Word: nic, start_time: 13.3, end_time: 13.6
Word: do, start_time: 13.6, end_time: 13.7
Word: jedzenia, start_time: 13.7, end_time: 13.9
Word: wtedy, start_time: 13.9, end_time: 15.1
Word: dziewczynka, start_time: 15.1, end_time: 15.3
Word: poszła, start_time: 15.3, end_time: 15.9
Word: do, start_time: 15.9, end_time: 16.0
Word: lasu, start_time: 16.0, end_time: 16.1
Word: i, start_time: 16.1, end_time: 16.4
Word: tam, start_time: 16.4, end_time: 16.9
Word: natknęłam, start_time: 16.9, end_time: 17.5
Word: się, start_time: 17.5, end_time: 17.6
Word: na, start_time: 17.6, end_time: 17.7
Word: pewną, start_time: 17.7, end_time: 18.1
