Waiting for operation to complete...
Transcript: nastrojów wiosennych nie masz nic milszego ponad ciągnący żeński pensjonat w sumie sznurkiem przez plantację w ciszy z wolna uroczyście zielono pachną wakacje Słońce gdzie się poprzez liście ciągnie podwójny sznureczek takich przemiłych owieczek cieplutko wiosna południe ławeczka próżniactwo boskie myśli rozegrane cudnie jakieś koziołki szelmowskie idą dużo mniejsza mała kobiecości gama cała ptaszek ćwierka gdzieś tam z góry swoich liryk pierwszą serię zapoznanych serc tortury i celibatu mizerię pod kapą granatową rysuje się to i owo w rytm melodii jakiejś sennej kołyszą się stare drzewa w płynie Fa
Confidence: 0.8667283654212952
Word: nastrojów, start_time: 0.0, end_time: 0.9
Word: wiosennych, start_time: 0.9, end_time: 1.8
Word: nie, start_time: 1.8, end_time: 2.0
Word: masz, start_time: 2.0, end_time: 2.8
Word: nic, start_time: 2.8, end_time: 3.2
Word: milszego, start_time: 3.2, end_time: 3.5
Word: ponad, start_time: 3.5, end_time: 4.3
Word: ciągnący, start_time: 4.3, end_time: 5.5
Word: żeński, start_time: 5.5, end_time: 6.2
Word: pensjonat, start_time: 6.2, end_time: 7.2
Word: w, start_time: 7.2, end_time: 7.4
Word: sumie, start_time: 7.4, end_time: 8.2
Word: sznurkiem, start_time: 8.2, end_time: 8.8
Word: przez, start_time: 8.8, end_time: 9.1
Word: plantację, start_time: 9.1, end_time: 9.9
Word: w, start_time: 9.9, end_time: 10.1
Word: ciszy, start_time: 10.1, end_time: 10.8
Word: z, start_time: 10.8, end_time: 11.0
Word: wolna, start_time: 11.0, end_time: 11.6
Word: uroczyście, start_time: 11.6, end_time: 12.3
Word: zielono, start_time: 12.3, end_time: 13.5
Word: pachną, start_time: 13.5, end_time: 13.8
Word: wakacje, start_time: 13.8, end_time: 14.5
Word: Słońce, start_time: 14.5, end_time: 15.5
Word: gdzie, start_time: 15.5, end_time: 16.0
Word: się, start_time: 16.0, end_time: 16.3
Word: poprzez, start_time: 16.3, end_time: 16.9
Word: liście, start_time: 16.9, end_time: 17.5
Word: ciągnie, start_time: 17.5, end_time: 19.0
Word: podwójny, start_time: 19.0, end_time: 19.7
Word: sznureczek, start_time: 19.7, end_time: 20.3
Word: takich, start_time: 20.3, end_time: 21.0
Word: przemiłych, start_time: 21.0, end_time: 21.9
Word: owieczek, start_time: 21.9, end_time: 22.6
Word: cieplutko, start_time: 22.6, end_time: 23.9
Word: wiosna, start_time: 23.9, end_time: 24.6
Word: południe, start_time: 24.6, end_time: 25.5
Word: ławeczka, start_time: 25.5, end_time: 26.4
Word: próżniactwo, start_time: 26.4, end_time: 27.6
Word: boskie, start_time: 27.6, end_time: 28.1
Word: myśli, start_time: 28.1, end_time: 29.1
Word: rozegrane, start_time: 29.1, end_time: 30.1
Word: cudnie, start_time: 30.1, end_time: 30.7
Word: jakieś, start_time: 30.7, end_time: 31.4
Word: koziołki, start_time: 31.4, end_time: 32.5
Word: szelmowskie, start_time: 32.5, end_time: 33.4
Word: idą, start_time: 33.4, end_time: 34.4
Word: dużo, start_time: 34.4, end_time: 35.5
Word: mniejsza, start_time: 35.5, end_time: 36.4
Word: mała, start_time: 36.4, end_time: 37.1
Word: kobiecości, start_time: 37.1, end_time: 38.4
Word: gama, start_time: 38.4, end_time: 38.9
Word: cała, start_time: 38.9, end_time: 39.5
Word: ptaszek, start_time: 39.5, end_time: 40.5
Word: ćwierka, start_time: 40.5, end_time: 41.0
Word: gdzieś, start_time: 41.0, end_time: 41.3
Word: tam, start_time: 41.3, end_time: 41.5
Word: z, start_time: 41.5, end_time: 41.6
Word: góry, start_time: 41.6, end_time: 42.0
Word: swoich, start_time: 42.0, end_time: 42.8
Word: liryk, start_time: 42.8, end_time: 43.4
Word: pierwszą, start_time: 43.4, end_time: 44.1
Word: serię, start_time: 44.1, end_time: 44.7
Word: zapoznanych, start_time: 44.7, end_time: 45.8
Word: serc, start_time: 45.8, end_time: 46.2
Word: tortury, start_time: 46.2, end_time: 47.0
Word: i, start_time: 47.0, end_time: 47.2
Word: celibatu, start_time: 47.2, end_time: 48.7
Word: mizerię, start_time: 48.7, end_time: 49.4
Word: pod, start_time: 49.4, end_time: 50.4
Word: kapą, start_time: 50.4, end_time: 50.7
Word: granatową, start_time: 50.7, end_time: 51.6
Word: rysuje, start_time: 51.6, end_time: 52.4
Word: się, start_time: 52.4, end_time: 52.6
Word: to, start_time: 52.6, end_time: 52.8
Word: i, start_time: 52.8, end_time: 53.1
Word: owo, start_time: 53.1, end_time: 53.8
Word: w, start_time: 53.8, end_time: 54.0
Word: rytm, start_time: 54.0, end_time: 54.8
Word: melodii, start_time: 54.8, end_time: 55.4
Word: jakiejś, start_time: 55.4, end_time: 55.9
Word: sennej, start_time: 55.9, end_time: 56.6
Word: kołyszą, start_time: 56.6, end_time: 57.4
Word: się, start_time: 57.4, end_time: 57.6
Word: stare, start_time: 57.6, end_time: 58.1
Word: drzewa, start_time: 58.1, end_time: 58.6
Word: w, start_time: 58.6, end_time: 58.8
Word: płynie, start_time: 58.8, end_time: 59.5
Word: Fa, start_time: 59.5, end_time: 59.8
Transcript: wiosenny w sercu puka coś co się śpiewa tam mała mogłaby troszkę obciągnąć sobie pończoszki Jakiś czarny nieznany jeszcze jakieś czucia wiotkie śliczne jakieś dziwne w piersiach dreszcze Pan i pani teistyczne czy to nie znaczy przypadkiem że czas mi już zostać dziadkiem
Confidence: 0.9452723264694214
Word: wiosenny, start_time: 59.9, end_time: 61.1
Word: w, start_time: 61.1, end_time: 61.3
Word: sercu, start_time: 61.3, end_time: 62.2
Word: puka, start_time: 62.2, end_time: 62.6
Word: coś, start_time: 62.6, end_time: 62.9
