126	który	ˈktu.rɨ	które	ˈktu.rɛ
125	przystępuję	pʂɨ.stɛmˈpu.jɛ	przystępujemy	pʂɨ.stɛm.puˈjɛ.mɨ
68	rozpatrzenie	rɔ.spatˈʂɛ.ɲɛ	rozpatrzenia	rɔ.spatˈʂɛ.ɲa
66	oddał	ˈɔd.daw	oddało	ɔdˈda.wɔ
62	marszałków	marˈʂaw.kuf	marszałku	marˈʂaw.ku
58	euro	ˈɛ.wrɔ	ełro	ˈɛ.wrɔ
55	które	ˈktu.rɛ	który	ˈktu.rɨ
54	wogóle	vɔˈɡu.lɛ	w ogóle	vɔˈɡu.lɛ
53	artykuł	arˈtɨ.kuw	artykułu	ar.tɨˈku.wu
47	ani	aˈɲ.i	pani	paˈɲ.i
43	głosował	ɡwɔˈsɔ.vaw	głosowało	ɡwɔ.sɔˈva.wɔ
42	zabrania	zaˈbra.ɲa	zabranie	zaˈbra.ɲɛ
42	ani	aˈɲ.i	a nie	ˈa.ɲɛ
41	osób	ˈɔ.sup	posłów	ˈpɔ.swuf
40	polski	pɔlsˈkʲ.i	polskiej	ˈpɔl.skʲɛj
40	informuje	i.nfɔrˈmu.jɛ	informuję	i.nfɔrˈmu.jɛ
37	państwo	ˈpaɲ.stfɔ	państwa	ˈpaɲ.stfa
36	który	ˈktu.rɨ	której	ˈktu.rɛj
36	komisję	kɔˈmʲis.jɛ	komisje	kɔˈmʲis.jɛ
36	jaki	jaˈkʲ.i	jakiś	ˈja.kʲiɕ
34	taki	taˈkʲ.i	takiej	ˈta.kʲɛj
34	które	ˈktu.rɛ	która	ˈktu.ra
34	chce	xt͡sɛ	chcę	xt͡sɛ
33	izby	ˈiz.bɨ	izbie	ˈiz.bʲɛ
32	tym	tɨm	ten	tɛn
32	głosów	ˈɡwɔ.suf	posłów	ˈpɔ.swuf
30	vat	vat	wat	vat
30	trzy	tʂɨ	czy	t͡ʂɨ
30	dziękuje	d͡ʑɛŋˈku.jɛ	dziękuję	d͡ʑɛŋˈku.jɛ
28	zabrania	zaˈbra.ɲa	o zabranie	ɔ.zaˈbra.ɲɛ
28	polski	pɔlsˈkʲ.i	polskich	ˈpɔl.skʲix
27	pytanie	pɨˈta.ɲɛ	pytania	pɨˈta.ɲa
27	emerytur	ɛ.mɛˈrɨ.tur	emerytów	ɛ.mɛˈrɨ.tuf
26	poprawka	pɔˈpraf.ka	poprawkę	pɔˈpraf.kɛ
26	oto	ˈɔ.tɔ	o to	ˈɔ.tɔ
26	informacje	i.nfɔrˈmat͡s.jɛ	informację	i.nfɔrˈmat͡s.jɛ
25	pan	pan	pani	paˈɲ.i
24	decyzję	dɛˈt͡sɨz.jɛ	decyzje	dɛˈt͡sɨz.jɛ
24	czy	t͡ʂɨ	czyli	t͡ʂɨˈlʲ.i
24	był	bɨw	było	ˈbɨ.wɔ
23	rzeczypospolitej	ʐɛ.t͡ʂɨ.pɔ.spɔˈlʲi.tɛj	rzeczpospolitej	ʐɛt͡ʂ.pɔ.spɔˈlʲi.tɛj
23	mam	mam	mamy	ˈma.mɨ
22	ważne	ˈvaʐ.nɛ	ważny	ˈvaʐ.nɨ
22	swego	ˈsfɛ.ɡɔ	swojego	sfɔˈjɛ.ɡɔ
22	rady	ˈra.dɨ	radę	ˈra.dɛ
22	nimi	ɲiˈmʲ.i	innymi	ˈin.nɨˈmʲ.i
22	nie	ɲɛ	mnie	mɲɛ
22	nic	ɲit͡s	nikt	ɲikt
22	możliwość	mɔʐˈlʲi.vɔɕt͡ɕ	możliwości	mɔʐˈlʲi.vɔɕˈt͡ɕ.i
22	komisji	kɔˈmʲis.ji	komisję	kɔˈmʲis.jɛ
22	było	ˈbɨ.wɔ	była	ˈbɨ.wa
21	wnioskodawcy	vɲɔ.skɔˈdaf.t͡sɨ	wnioskodawców	vɲɔ.skɔˈdaf.t͡suf
21	ustnym	ˈu.stnɨm	ustęp	ˈu.stɛmp
21	jakiś	ˈja.kʲiɕ	jakieś	ˈja.kʲɛɕ
21	ich	ix	i w	if
