zaniesłyszałem	za.ɲɛ.swɨˈʂa.wɛm
zolbrzymioną	zɔl.bʐɨˈmʲɔ.nɔ̃
odwzorem	ɔdˈvzɔ.rɛm
wypieszczać	vɨˈpʲɛʂ.t͡ʂat͡ɕ
kędym	ˈkɛn.dɨm
przenagle	pʂɛˈnaɡ.lɛ
stwardniałość	stfarˈdɲa.wɔɕt͡ɕ
wtrąconoż	ftrɔnˈt͡sɔ.nɔʂ
strzępa	ˈstʂɛm.pa
odgadnienia	ɔd.ɡaˈdɲɛ.ɲa
zgmatwała	zɡmaˈtfa.wa
podmurze	pɔdˈmu.ʐɛ
odszperałem	ɔt.ʂpɛˈra.wɛm
obsaczyły	ɔp.saˈt͡ʂɨ.wɨ
plamiście	plaˈmʲiɕ.t͡ɕɛ
poswędem	pɔˈsfɛn.dɛm
odwzoru	ɔdˈvzɔ.ru
dokształtować	dɔk.ʂtawˈtɔ.vat͡ɕ
nieprzerwalnie	ɲɛp.ʂɛrˈval.ɲɛ
pobliskość	pɔbˈlʲi.skɔɕt͡ɕ
braciszkowie-oprawcy	bra.t͡ɕiʂ.kɔ.vʲɛ.ɔˈpraf.t͡sɨ
niedokształtowaną	ɲɛ.dɔk.ʂtaw.tɔˈva.nɔ̃
secinami	sɛˈt͡ɕi.naˈmʲ.i
pagórzyście	pa.ɡuˈʐɨɕ.t͡ɕɛ
wypar	ˈvɨ.par
wnętrzniejszy	vnɛnˈtʂɲɛj.ʂɨ
najnielitościwszych	naj.ɲɛ.lʲi.tɔɕˈt͡ɕif.ʂɨx
surmowych	surˈmɔ.vɨx
hieroplitami	xʲjɛ.rɔpˈlʲi.taˈmʲ.i
hiero	ˈxʲjɛ.rɔ
miurela	mʲuˈrɛ.la
kerganue	kɛr.ɡaˈnu.ɛ
dizestę	diˈzɛ.stɛ̃
ug	uk
niniwiątko	ɲi.ɲiˈvʲɔn.tkɔ
wernilo	vɛrˈɲi.lɔ
zeskontowałem	zɛ.skɔn.tɔˈva.wɛm
kontrrewersu	kɔn.trrɛˈvɛr.su
kontrrewers	kɔnˈtrrɛ.vɛrs
kontrrewersy	kɔn.trrɛˈvɛr.sɨ
zagoryczyły	za.ɡɔ.rɨˈt͡ʂɨ.wɨ
wygrzewaczka	vɨ.ɡʐɛˈvat͡ʂ.ka
karfologii	ka.rfɔˈlɔɡʲ.ji
subhasta	supˈxa.sta
fatydycznych	fa.tɨˈdɨt͡ʂ.nɨx
myszątka	mɨˈʂɔn.tka
przedrażnieniu	pʂɛ.draʐˈɲɛ.ɲu
Maciejunia	ma.t͡ɕɛˈju.ɲa
Maciejunio	ma.t͡ɕɛˈju.ɲɔ
Maciejuniem	ma.t͡ɕɛˈju.ɲɛm
przedpraska	pʂɛtˈpra.ska
grubis	ˈɡru.bʲis
adausonji	a.dawˈsɔn.ji
adkosmos	atˈkɔs.mɔs
afrydyjskim	a.frɨˈdɨj.skʲim
Akaście	Aˈkaɕ.t͡ɕɛ
Akasów	Aˈka.suf
Akast	Akast
alchimista	al.xʲiˈmʲi.sta
alter-akcje	al.tɛˈrak.t͡sjɛ
aluzyja	a.luˈzɨ.ja
pahydermatus	pa.xɨ.dɛrˈma.tus
andrybajów	an.drɨˈba.juf
andrybajami	an.drɨˈba.jaˈmʲ.i
andrybów	anˈdrɨ.buf
angryście	anˈɡrɨɕ.t͡ɕɛ
anglikowie	an.ɡlʲiˈkɔ.vʲɛ
artelszczykiem	ar.tɛlˈʂt͡ʂɨ.kʲɛm
asnawał	asˈna.vaw
boha	ˈbɔ.xa
maciuperne	ma.t͡ɕuˈpɛr.nɛ
śrybło	ˈɕrɨ.bwɔ
wieciutki	ˈvʲɛ.t͡ɕutˈkʲ.i
potrza	ˈpɔt.ʂa
zachorzeć	zaˈxɔ.ʐɛt͡ɕ
chłoposko	xwɔˈpɔ.skɔ
kaj	kaj
pirsy	ˈpʲir.sɨ
baeczna	baˈɛt͡ʂ.na
prosz	prɔʂ
paa	pa
bajtała	bajˈta.wa
brzyćki	bʐɨt͡ɕˈkʲ.i
cas	t͡sas
chrobacek	xrɔˈba.t͡sɛk
chrobaczek	xrɔˈba.t͡ʂɛk
chycić	ˈxɨ.t͡ɕit͡ɕ
chytać	ˈxɨ.tat͡ɕ
doma	ˈdɔ.ma
domosko	dɔˈmɔ.skɔ
dopiro	dɔˈpʲi.rɔ
drzwiów	dʐvʲuf
dwasta	ˈdva.sta
godali	ˈɡɔ.daˈlʲ.i
insy	ˈin.sɨ
janioł	ˈja.ɲɔw
kajniekaj	kajˈɲɛ.kaj
kajsi	kajˈɕ.i
kazować	kaˈzɔ.vat͡ɕ
kielo	ˈkʲɛ.lɔ
księgów	ˈkɕɛŋ.ɡuf
kumora	kuˈmɔ.ra
kuń	kuɲ
kuniami	ˈku.ɲaˈmʲ.i
letki	lɛtˈkʲ.i
maciuperny	ma.t͡ɕuˈpɛr.nɨ
magnąć	ˈmaɡ.nɔɲt͡ɕ
malućki	ˈma.lut͡ɕˈkʲ.i
mechem	ˈmɛ.xɛm
nikady	ɲiˈka.dɨ
nikaj	ˈɲi.kaj
