pies	/ˈpʲjɛs/
a-	/ɑː/
on	/ɔn̪/
robot	/ˈrɔbɔt̪/
aby	/ˈabɨ/
te	[t̪ɛ]
zero	[ˈz̪ɛrɔ]
one	/ˈɔn̪ɛ/
i	/i/
pseudo-	/ˈps̪ɛwd̪ɔ/
Edward	/ˈɛd̪vart̪/
os	/ˈɔs/
słownik	/ˈswɔvɲik/
ten	[t̪ɛ̃n̪]
most	/mɔst/
euro	[ˈɛwrɔ]
bank	[bãŋk]
but	[but]
radio	/ˈradjɔ/
ci	/t͡ɕi/
Angola	/aŋˈɡɔla/
Burundi	/buˈrundi/
Bhutan	/ˈbutan/
Botswana	/bɔt.sˈfana/
Botswana	/bɔt͡sˈfana/
Chile	/ˈt͡ʃilɛ/
Gabon	/ˈɡabɔn/
Ghana	/ˈɡana/
Gambia	/ˈɡambja/
Honduras	/xɔnˈduras/
Haiti	/xaˈiti/
Iran	/ˈiran/
Kiribati	/kʲiriˈbati/
Laos	/ˈlaɔs/
Liechtenstein	/ˈlixtɛnʂtajn/
Liberia	/liˈbɛrja/
Mali	/ˈmali/
Mongolia	/mɔŋˈɡɔlja/
Malta	/ˈmalta/
Malawi	/maˈlavi/
Namibia	/naˈmibja/
Niger	/ˈɲiɡɛr/
Nigeria	/ɲiˈɡɛrja/
mi	[mʲi]
standard	/ˈs̪t̪an̪d̪art̪/
Nepal	/ˈnɛpal/
Nauru	/ˈnawru/
Oman	/ˈɔman/
Panama	/paˈnama/
Peru	/ˈpɛru/
Pakistan	/paˈkʲistan/
Rwanda	/ruˈanda/
Sudan	/ˈsudan/
Senegal	/sɛˈnɛɡal/
Syria	/ˈs̪ɨrja/
Togo	/ˈt̪ɔɡɔ/
Tonga	/ˈt̪ɔŋɡa/
Uganda	/uˈɡan̪d̪a/
Zambia	/ˈz̪ambja/
Zimbabwe	/z̪imˈbabvɛ/
Barbados	/barˈbadɔs/
Benin	/ˈbɛɲin/
Vanuatu	/van̪uˈat̪u/
Uzbekistan	/uz̪bɛˈkʲis̪t̪an̪/
FIFA	/ˈfifa/
Somalia	/sɔˈmalja/
Sierra Leone	/sʲjɛrːa lɛˈɔnɛ/
Lesotho	/lɛˈsɔtɔ/
Saint Lucia	/sɛnt‿ˈluʂɛ/
Samoa	/saˈmɔa/
Grenada	/ɡrɛˈnada/
red	[rɛt]
tempo	[ˈt̪ɛ̃mpɔ]
weekend	/ˈwikɛn̪t̪/
humor	[ˈxumɔr]
zebra	/ˈzɛbra/
lama	/ˈlama/
to	/t̪ɔ/
my	/mɨ/
Korea	/kɔˈrɛa/
was	[vas̪]
car	/tsar/
pupa	[ˈpupa]
hobby	/ˈxɔb.bi/
om	/ɔm/
bal	[bal]
ban	/ban̪/
piece	[ˈpʲjɛt͡s̪ɛ]
idiom	/ˈidjɔm/
pizza	[ˈpit͡st͡sa]
galaktyka	[ɡaˈlaktɨka]
matka	[ˈmat̪ka]
dziewczynka	/d͡ʑɛfˈt͡ʂɨnka/
dziewczyna	/d͡ʑɛfˈt͡ʂɨna/
kawa	[ˈkava]
kaczka	[ˈkat͡ʂka]
kobieta	[kɔˈbʲjɛta]
długość	[ˈdwuɡɔɕt͡ɕ]
kara	/ˈkara/
siostra	/ˈɕɔstra/
fizyka	[ˈfizɨka]
matematyka	[matɛˈmatɨka]
matematyka	[matɛmaˈtɨka]
dziwka	/ˈd͡ʑifka/
książka	[ˈkʲɕɔ̃ʂka]
książeczka	[kʲɕɔ̃w̃ˈʐɛt͡ʂka]
łyżeczka	[wɨˈʐɛt͡ʂka]
łyżka	/ˈwɨʂka/
prostytutka	/prɔstɨˈtutka/
szklanka	[ˈʂklanka]
chemia	/ˈxɛmja/
magia	[ˈmaɟja]
czekolada	/t͡ʂɛkɔˈlada/
cebula	[t͡sɛˈbula]
