Boze	borze, boże
Cegoz	czegoż
Cyby	czyby
Cóz	cóż
Gadajciez	gadajcież
Jakze	jakże
Jesce	jeszcze
Jeszce	jeszcze
Juz	już
Juzem	jużem
Kaz	karz, każ
Królewic	królewicz
Moze	morze, może
Nicym	niczym
Ojce	ojce, ojcze
Opońca	opończa
Pocekaj	poczekaj
Przysedłem	przyszedłem
Pusca	puszcza
Puscą	puszczą
Płasc	płaszcz
Słysycie	słyszycie
Walecnego	walecznego
Widzis	widzisz
Wiecór	wieczór
Wylegas	wylegasz
Zali	zali, żali
Zeby	żeby
Zeniłby	żeniłby
az	aż
aze	arze
bogackom	bogaczkom
capce	czapce
carna	czarna
carno	czarno
carownik	czarownik
carownika	czarownika
cas	cas, czas, czasz
cego	czego
cegozem	czegożem
cegóz	czegóż
cekają	czekają
cekał	czekał
cerwona	czerwona
chces	chcesz
cizba	ciżba
cizemki	ciżemki
cterech	czterech
cudacku	cudacku, cudaczku
cuję	czuję
cy	cy, czy
cyjze	czyjże
cym	cym, czym
cóz	cóż
cózeście	cóżeście
cęsto	często
cłek	człek
cłowiek	człowiek
docekam	doczekam
docekać	doczekać
dusa	dusza
duse	dusze
duzo	dużo
grubse	grubsze
gęściejse	gęściejsze
hucna	huczna
inse	insze
insy	inszy
jascurecka	jaszczureczka
jaze	jarze
jesce	jeszcze
jeszce	jeszcze
juz	już
juzem	jużem
jęcenie	jęczenie
jęceniem	jęczeniem
kapelus	kapelusz
kaz	karz, każ
kiermas	kiermasz
kijasek	kijaszek
kosulka	koszulka
kosulę	koszulę
krzacyska	krzaczyska
krzyceli	krzyczeli
krzyze	krzyże
krzyzykiem	krzyżykiem
królewic	królewicz
królewica	królewicza
królewicu	królewiczu
kuso	kuso, kuszo
lepsa	lepsza
lepse	lepsze
miseckę	miseczkę
mizeracek	mizeraczek
moze	morze, może
muselkami	muszelkami
męcys	męczysz
najdłuzej	najdłużej
nalezy	należy
nase	nasze
nastrosył	nastroszył
naznacyć	naznaczyć
nicego	niczego
nicym	niczym
nieboracek	nieboraczek
nieduzy	nieduży
niz	niż
nuz	nuż
obaccie	obaczcie
ocach	oczach
ocy	oczy
ocyma	oczyma
odgonis	odgonisz
panic	panicz
pise	pisze
posli	poszli
prześlicny	prześliczny
przycepię	przyczepię
pscoły	pszczoły
ptasecek	ptaszeczek
pusca	puszcza
puscy	puszczy
puscą	puszczą
pyszcek	pyszczek
rusać	ruszać
sepces	szepcesz, szepczesz
skocy	skoczy
skocył	skoczył
skoda	skoda, szkoda
skody	skody, szkody
spiczasto	spiczasto, szpiczasto
stercą	sterczą
strasnym	strasznym
sukaj	szukaj
sukać	szukać
syny	syny, szyny
słonecka	słoneczka
słysał	słyszał
tarasą	taraszą
tknies	tkniesz
tymcasem	tymczasem
uska	uszka
usy	uszy
wcoraj	wczoraj
wiecerzać	wieczerzać
wiecorem	wieczorem
więkse	większe
wolniejsy	wolniejszy
wrzescy	wrzeszczy
wsytko	wszytko
wysocyzny	wysoczyzny
zal	zal, żal
zali	zali, żali
zeby	żeby
zem	rzem, żem
zezarło	zeżarło
znacyli	znaczyli
zobacą	zobaczą
złapies	złapiesz
ściezków	ścieżków
ślicne	śliczne
ślicnego	ślicznego
ślicności	śliczności
śpicaste	śpiczaste
świadcyć	świadczyć
muse	muszę
