jutrom	ˈju.trɔm
zakału	zaˈka.wu
zakąt	ˈza.kɔnt
jeslim	ˈjɛs.lʲim
czemużeś	t͡ʂɛˈmu.ʐɛɕ
dobrześ	ˈdɔb.ʐɛɕ
wszytce	ˈfʂɨt.t͡sɛ
wszytek	ˈfʂɨ.tɛk
wszytka	ˈfʂɨt.ka
wszytką	ˈfʂɨt.kɔ̃
wszytkach	ˈfʂɨt.kax
wszytkami	ˈfʂɨt.kaˈmʲ.i
wszytkę	ˈfʂɨt.kɛ
wszytki	fʂɨtˈkʲ.i
wszytkich	ˈfʂɨt.kʲix
wszytko	ˈfʂɨt.kɔ
wszytkom	ˈfʂɨt.kɔm
zaspiewamy	zas.pʲɛˈva.mɨ
spiewa	ˈspʲɛ.va
spiewać	ˈspʲɛ.vat͡ɕ
spiewam	ˈspʲɛ.vam
jesliś	ˈjɛs.lʲiɕ
jesli	ˈjɛs.lʲi
trochęśmy	trɔˈxɛ̃ɕ.mɨ
nigdym	ˈɲiɡ.dɨm
adyć	ˈa.dɨt͡ɕ
albożem	alˈbɔ.ʐɛm
bardzom	ˈbar.d͡zɔm
bardzoście	barˈd͡zɔɕ.t͡ɕɛ
bardzoś	ˈbar.d͡zɔɕ
cóżem	ˈt͡su.ʐɛm
jakżeby	jakˈʂɛ.bɨ
jakżem	ˈjak.ʂɛm
jakżeś	ˈjak.ʂɛɕ
jakżeż	ˈjak.ʂɛʂ
jeślibyś	jɛɕˈlʲi.bɨɕ
jeślibyśmy	jɛɕ.lʲiˈbɨɕ.mɨ
jeślim	ˈjɛɕ.lʲim
jeszczeż	ˈjɛʂ.t͡ʂɛʂ
jeżelim	jɛˈʐɛ.lʲim
jać	jat͡ɕ
juściż	ˈjuɕ.t͡ɕiʂ
jużcić	ˈjuʂ.t͡ɕit͡ɕ
zapomniałżeś	za.pɔmˈɲaw.ʐɛɕ
pójdźcieno	pujˈt͡ɕt͡ɕɛ.nɔ
powiedzno	pɔˈvʲɛd͡z.nɔ
zobaczno	zɔˈbat͡ʂ.nɔ
maszże	ˈmaʂ.ʂɛ
myśliszże	mɨɕˈlʲiʂ.ʂɛ
przeczytajże	pʂɛ.t͡ʂɨˈtaj.ʐɛ
przyślijże	pʂɨɕˈlʲij.ʐɛ
rozpowiedzże	rɔ.spɔˈvʲɛd͡z.ʐɛ
skończże	ˈskɔɲ.t͡ʂʂɛ
stójże	ˈstuj.ʐɛ
strzeżże	ˈstʂɛʐ.ʐɛ
zabierajże	za.bʲɛˈraj.ʐɛ
zapnijże	zapˈɲij.ʐɛ
znaszże	ˈznaʂ.ʂɛ
nauczcież	ˈnaw.t͡ʂt͡ɕɛʂ
pięknież	ˈpʲɛŋ.kɲɛʂ
podnieścież	pɔˈdɲɛɕ.t͡ɕɛʂ
przypatrzcież	pʂɨˈpat.ʂt͡ɕɛʂ
witajcież	vʲiˈtaj.t͡ɕɛʂ
możeś	ˈmɔ.ʐɛɕ
onać	ˈɔ.nat͡ɕ
jakimże	jaˈkʲim.ʐɛ
jakimż	ˈja.kʲimʂ
źleśmy	ˈʑlɛɕ.mɨ
źlem	ʑlɛm
żebych	ˈʐɛ.bɨx
żebyśta	ʐɛˈbɨɕ.ta
bestyja	bɛˈstɨ.ja
błogosławionaś	bwɔ.ɡɔ.swaˈvʲɔ.naɕ
żeście	ˈʐɛɕ.t͡ɕɛ
takeśmy	taˈkɛɕ.mɨ
wielkiem	ˈvʲɛl.kʲɛm
czymsiś	ˈt͡ʂɨm.ɕiɕ
pięknaś	ˈpʲɛŋ.knaɕ
dojźrzenia	dɔjˈʑʐɛ.ɲa
wszytkie	ˈfʂɨt.kʲɛ
mojem	ˈmɔ.jɛm
sambyś	ˈsam.bɨɕ
czyniemy	t͡ʂɨˈɲɛ.mɨ
myślemy	mɨɕˈlɛ.mɨ
take	ˈta.kɛ
wi	ˈvʲ.i
iżeś	ˈi.ʐɛɕ
okrutnyś	ɔˈkrut.nɨɕ
sameś	ˈsa.mɛɕ
szerść	ʂɛrɕt͡ɕ
nadtom	ˈnat.tɔm
nadtoś	ˈnat.tɔɕ
nadtoście	natˈtɔɕ.t͡ɕɛ
nadtośmy	natˈtɔɕ.mɨ
niżbym	ˈɲiʐ.bɨm
którzyście	ktuˈʐɨɕ.t͡ɕɛ
wskróś	fskruɕ
godzinieśmy	ɡɔ.d͡ʑiˈɲɛɕ.mɨ
niesiem	ˈɲɛ.ɕɛm
dajem	ˈda.jɛm
czegoście	t͡ʂɛˈɡɔɕ.t͡ɕɛ
mądryś	ˈmɔn.drɨɕ
ładnejś	ˈwad.nɛjɕ
łaskęś	ˈwa.skɛ̃ɕ
